,pairs,binned,story_A,story_B,story_A_summary,story_B_summary,Empathic Similarity (gpt3.5),Empathic Similarity Binned (gpt3.5),Empathic Similarity Reasons (gpt3.5),similarity_empathy_human_AGG,similarity_event_human_AGG,similarity_emotion_human_AGG,similarity_moral_human_AGG
0,"(0, 20)","(0.544, 0.684]","June of this year my friends and I decided to road trip from Munich Germany to Croatia. My friends and I had tickets to ultra music fest and decided that a road trip would be the most fun way to go. The ride should have lasted about 9/10 hours give or take. We left the hotel in Germany at around 6 in the morning, we didnt want to drive too late at night because we would have been tired. <br><br>We were on the road for about 5 hours when the car we were in experienced a flat tire. Luckily for my friends and I we all know how to change a tire so we got out the car and went to change the tire but there was no extra tire. We were stuck with no service in the middle of no where. We tried calling the rental car company and tried calling for help but there was no connection. <br><br>My friends and I decided to walk back about 4 miles to where we saw a gas station to call for help. About an hour later we were at the gas station but there was no one there, and we still had no phone service. We decided to stay at the gas station for some time hoping that someone would show up. <br><br>4 hours later with no service and still waiting for help we decided to walk back to the car. 30 minutes after walking towards the car we saw a huge van start to head towards us, we jumped up and down for help and the van stopped and a musician who was playing at the same venue we were going to got out the van with his security. <br><br>My friends and I explained the situation and they gave us a ride to the venue and backstage passes it was amazing. Before we got to the venue we were able to call the rental car company and they tracked the car to pick it up and return it to us. <br><br>The celebrity and my friends and i ended up hanging out all weekend, and becoming great friends. My friends and I were shocked and it was considered the best weekend ever.","A memorable moment was recently when I hosted a birthday party for my boyfriend. We rented out a hall and threw a party there. We recently moved to a different city so we have not seen our friends in a while. On his birthday we invited everybody down and had a good turn out. The theme of the party was more of a Hawaiian theme which everyone seemed to enjoy. There were lots of foods, drinks, music and games. <br><br>Seeing everybody get together to celebrate this moment was special. There were also some unexpected gifts that he received. Our kids were also at this party and they put together a dance for their dads birthday. Our kids are young which makes this even cuter. To see his reaction to the dance was memorable. The smile on faces was such a positive feeling. <br><br>Later on that night we ended up taken everybody back to our house. The hall was only rented out for a few hours and it went better than expected so we continued it at home. Some people spent the night since they could not drive back home. <br><br>Waking up that next morning to a house full of people and laughs about the night before was also very memorable.","The author and their friends road tripped from Munich to Croatia for a music festival. After driving for five hours, their car experienced a flat tire with no spare and no phone service in the middle of nowhere. They walked four miles to a gas station but found no help, and after waiting for four hours, a musician and their security team picked them up and gave them backstage passes to the festival.","
The author hosted a Hawaiian themed birthday party for their boyfriend in a rented hall. Friends who hadn't been seen since moving to a new city attended and there were unexpected gifts and a dance performed by the couple's young children. The party continued at their house, with some guests spending the night and the next morning filled with laughter and memories.",1,0.0, the stories have completely different plots and there is no overlap in the experiences described by the narrators.,2.5,1.0,2.0,2.5
1,"(0, 58)","(0.544, 0.684]","June of this year my friends and I decided to road trip from Munich Germany to Croatia. My friends and I had tickets to ultra music fest and decided that a road trip would be the most fun way to go. The ride should have lasted about 9/10 hours give or take. We left the hotel in Germany at around 6 in the morning, we didnt want to drive too late at night because we would have been tired. <br><br>We were on the road for about 5 hours when the car we were in experienced a flat tire. Luckily for my friends and I we all know how to change a tire so we got out the car and went to change the tire but there was no extra tire. We were stuck with no service in the middle of no where. We tried calling the rental car company and tried calling for help but there was no connection. <br><br>My friends and I decided to walk back about 4 miles to where we saw a gas station to call for help. About an hour later we were at the gas station but there was no one there, and we still had no phone service. We decided to stay at the gas station for some time hoping that someone would show up. <br><br>4 hours later with no service and still waiting for help we decided to walk back to the car. 30 minutes after walking towards the car we saw a huge van start to head towards us, we jumped up and down for help and the van stopped and a musician who was playing at the same venue we were going to got out the van with his security. <br><br>My friends and I explained the situation and they gave us a ride to the venue and backstage passes it was amazing. Before we got to the venue we were able to call the rental car company and they tracked the car to pick it up and return it to us. <br><br>The celebrity and my friends and i ended up hanging out all weekend, and becoming great friends. My friends and I were shocked and it was considered the best weekend ever.","My aunt called me a few weeks ago and wanted me to go with her on a road trip. It was kind of unexpected, but I haven't seen her much in the last few years so I was excited. We were headed to a wedding about 6 hours away. I didn't really know the guy getting married, but I had met his mom a few times. <br><br>On the way to the wedding, we stopped to visit several relatives. Again, people I hadn't seen in years. It was so fun to catch up with all my cousins! We had a blast at the wedding, or rather, the wedding reception and dance! Now that was a good time. Everyone was out on the dance floor and most of them were very good dancers. My aunt and I didn't participate in that, but it sure was fun watching everybody out there. The food was good too! <br><br>After the dance, we headed back to another friend's house to spend the night. I had met him a few times before, and we spent a couple of enjoyable days with him. We spent a few more days visiting with more friends and relatives before we headed back. <br><br>I absolutely had a blast. We talked all the way there and back which was about a 12 hour round trip. This is my favorite aunt of all time, and I'm so glad she asked me to go with her. She is over 70 now, and doesn't get around as well as she used to, so I soaked in every moment of our time together. <br><br>I only wish it could've lasted longer, but unfortunately, I had to get back to work. I hope we get the opportunity to do another road trip together!","The author and their friends road tripped from Munich to Croatia for a music festival. After driving for five hours, their car experienced a flat tire with no spare and no phone service in the middle of nowhere. They walked four miles to a gas station but found no help, and after waiting for four hours, a musician and their security team picked them up and gave them backstage passes to the festival.",The narrator's aunt invited them on a road trip to a wedding six hours away. They stopped to visit relatives and had a great time catching up with everyone. The narrator had a blast spending time with their aunt and hopes to go on another road trip with her in the future.,1,0.0, The two stories are about completely different experiences and there is no overlap in terms of emotions or feelings.,1.5,2.0,2.0,1.5
2,"(1, 25)","(0.0148, 0.199]","Last March I went to a tax accountant. I needed to file amended returns for the Patreon income from four previous years. I'd been under the impression since I set up my Patreon account that it was gift income, and therefore non-taxable. But gradually it became my primary source of income and I shifted to self-employment as a freelance writer. And the more I looked into it the more I began to suspect it was taxable after all. I feared getting into serious trouble. <br><br>In July of last year I concluded that it was indeed taxable. So I made plans to see an accountant and file for back taxes. According to my research on Google the IRS was required to allow installment payments I could afford, but I was still quite apprehensive in the months leading up to the meeting. <br><br>In March I met with the accountant, gave him documentation of the additional income, and paid him $400 for preparing four years' amended returns. This was considerably cheaper than my worst-case estimate, and was in itself a significant relief. And he confirmed my information about making installment payments. <br><br>In the months since, the IRS sent me a bill for back taxes and I arranged a modest $64/month installment payment. I also subtract 15% self-employment tax. It's a total tax burden I'm able to bear relatively easily, and a great load off my mind.","We are no longer using chromebooks for our school and moving to Macbooks. I decided I wanted to transport some files and photos from my chromebook to my phone to keep via usb port. <br><br>Also I have a hidden photo stash and I didn't expect anything from it but I was trying to input my files into one of the folders and then I opened it and saw the photos from my hidden gallery and I panicked and closed my chromebook. <br><br>I saw the images of what I had there and I freaked out. Worst of all, the chromebooks are supervised by the district I go to. So they might either see what I had on the files and talk to me about it the next day, or I will leave unharmed. <br><br>I am scared because I don't want people to find out about the stash and the school finding out is my worst fear. I don't think I will live to see the light of day again.","The author had been under the impression that their Patreon income was non-taxable, but eventually realized it was taxable and feared getting into trouble. They met with an accountant in March, paid $400 to prepare four years' amended returns, and confirmed they could make installment payments. The author received a bill for back taxes and arranged a manageable $64/month installment payment, which was a great relief.","
The school is switching from Chromebooks to Macbooks. The narrator tried to transfer files and pictures from their Chromebook to their phone via USB and accidentally stumbled upon a hidden photo stash. The narrator is afraid that the school district might see the photos and talk to them about it or they will be caught.",1,0.0, the two stories have no relation to each other.,2.0,2.0,2.0,2.0
3,"(10, 29)","(0.544, 0.684]","I have very few friends in the city I live in. I moved here a few years ago for work and I'm an introvert but somehow ended up making a few girl friends and I was really close to 2 of them. One moved to Canada last year and now the other is moving to another state to be with her boyfriend (soon to be husband). <br><br>She was originally going to leave in December but some unavoidable stuff happened and she has to leave next week. My friend is social and popular so I don't think it affects her that much and I don't begrudge that. But I'm feeling very sad and heart broken. <br><br>I'm pregnant so I think it's affecting me way worse. We had planned a bunch of activities in October (my baby shower, her bachelorette and her birthday) and those plans all need to modified now. She's going to miss the baby shower and I'm going to miss her bday. <br><br>Attempting now to to throw a last minute bachelorette this weekend. I feel pretty down and blue.","I'm from Spain and my country went into lockdown around March 14th. My college lectures got cancelled on the 11th since there were a couple of corona cases on campus. I haven't seen my best friend since March 6th or so. <br><br>However, since our lockdown has been just eased, we're now able to go outside and ""meet"" others: as long as you're both wearing gloves and masks and keep a certain distance. It'll be weird because I won't be able to hug her, but I'm very happy that I get to see her again. <br><br>I bought her favourite chocolates, and I can't wait to see her reaction.","
The writer moved to a new city a few years ago for work and made a few close girl friends, but one moved to Canada last year and now the other is moving to another state to be with her boyfriend. The writer is feeling sad and heartbroken, especially because they had planned a bunch of activities in October, including a baby shower and a bachelorette party. The writer is attempting to throw a last-minute bachelorette party, but feels down and blue.","
The author is from Spain and experienced a lockdown due to COVID-19. Their college lectures were cancelled and they haven't seen their best friend since early March. The lockdown has been eased and they are now able to meet with gloves, masks, and distance. They bought their friend's favorite chocolates and are excited to see her again.",1,0.0," the two stories have completely different contexts and emotions, making it difficult for the narrators to empathize with each other.",4.0,2.0,2.5,2.5
4,"(10, 52)","(0.544, 0.684]","I have very few friends in the city I live in. I moved here a few years ago for work and I'm an introvert but somehow ended up making a few girl friends and I was really close to 2 of them. One moved to Canada last year and now the other is moving to another state to be with her boyfriend (soon to be husband). <br><br>She was originally going to leave in December but some unavoidable stuff happened and she has to leave next week. My friend is social and popular so I don't think it affects her that much and I don't begrudge that. But I'm feeling very sad and heart broken. <br><br>I'm pregnant so I think it's affecting me way worse. We had planned a bunch of activities in October (my baby shower, her bachelorette and her birthday) and those plans all need to modified now. She's going to miss the baby shower and I'm going to miss her bday. <br><br>Attempting now to to throw a last minute bachelorette this weekend. I feel pretty down and blue.","To the people saying for socially awkward people to grow up. <br><br>Many of us had difficult childhoods in which we didn't get a chance to experience socializing with others, or even make friends. <br><br>Maybe some other people here had plenty of opportunity but were antisocial in high school and are just now discovering the wonders of interacting with other people. <br><br>Please forgive us, it's really difficult to learn everything so quick. <br><br>Friendships and talking to other people are so hard, and I don't have any clue about relationships. <br><br>We are trying our best!","
The writer moved to a new city a few years ago for work and made a few close girl friends, but one moved to Canada last year and now the other is moving to another state to be with her boyfriend. The writer is feeling sad and heartbroken, especially because they had planned a bunch of activities in October, including a baby shower and a bachelorette party. The writer is attempting to throw a last-minute bachelorette party, but feels down and blue.","
The author explains that some socially awkward people may have had difficult childhoods or missed out on opportunities to socialize. They ask for forgiveness and understanding as they try to learn how to interact with others. The author admits that friendships, talking to people, and relationships are challenging for them.",1,0.0," the two stories are completely unrelated, and the emotions and experiences of the narrators are very different from each other.",2.5,2.0,2.0,2.0
5,"(11, 52)","(0.43, 0.444]"," Until this year, I've never actually had an advisor/mentor figure who actively cared about my wellbeing or who I felt I could trust with my issues. Yet now thats changed!! This semester is the first time I've ever felt fully supported, even though basically every other aspect of my life has been upended. <br><br>I honestly dont think I could've gotten through it without their support and I'm so grateful to them for actually caring. I hope if I'm ever in the position to mentor someone, im as amazing as them. <br><br>On a darker note though, I feel like since I'm so used to being disregarded, I'm just waiting for the day that they stop caring or start dismissing me. It seems too good to be true, and I'm scared I'll disappoint them. My trust is so tenuous as it is, and I still haven't been able to be fully open with them.","To the people saying for socially awkward people to grow up. <br><br>Many of us had difficult childhoods in which we didn't get a chance to experience socializing with others, or even make friends. <br><br>Maybe some other people here had plenty of opportunity but were antisocial in high school and are just now discovering the wonders of interacting with other people. <br><br>Please forgive us, it's really difficult to learn everything so quick. <br><br>Friendships and talking to other people are so hard, and I don't have any clue about relationships. <br><br>We are trying our best!","
The author has never had a mentor who cared about their wellbeing or who they trusted until this semester. They feel fully supported and grateful for their mentor's care, but also worry that it's too good to be true and fear disappointing them. The author still hasn't been able to be completely open with their mentor due to tenuous trust.","
The author explains that some socially awkward people may have had difficult childhoods or missed out on opportunities to socialize. They ask for forgiveness and understanding as they try to learn how to interact with others. The author admits that friendships, talking to people, and relationships are challenging for them.",2,0.0," While both stories involve the authors feeling vulnerable and struggling with trust, the specific circumstances and emotions are different enough that it is unlikely they would empathize with each other on a deep level.",3.5,3.5,4.0,4.0
6,"(12, 35)","(0.417, 0.43]","I was recently put in charge of a team responsible for trying to land a big client for the firm. It was a great vote of confidence my superiors gave me. I decided the team formation for the task. I also decided to be on top of every decision made in this project. All the hard work paid off at the end because we got the account. The client loved our project and signed with our company right away. <br><br>I was very happy and proud of myself and my team. I also got a raise and a hefty bonus, making me one of the highest paid employees. This project gave me a confidence like I never had before. <br><br>Today I am more sure than ever about my capabilities at work and I am sure I am on a path to become the new manager at my branch. The current manager is about to retire and I am almost a shoe-in for the position. <br><br>I worked hard on my firm. I feel I deserved the vote of confidence. My manager also agreed with me. This project was a great victory. I will lead futures projects like this. I am on top of my game.","I always knew as a young person that I want to make a difference. So even though my day job was marketing, I really saw my greater purpose to be driving business. So leading marketing or whatever it is that I've done throughout my career. I'm actually privileged right now to do what is really my passion. And that's really to lead change and changing some of the systems that have created some of the problems that we're unfortunately trying to resolve. <br><br>In second grade, there was a teacher who had me come up and kept asking me to read, and I was reading all the stuff. And she was that teacher who said, wow this child here is special. And from there on I get placed in gifted classes and all this stuff, but my friends in my neighborhood were not in my classes. <br><br>And when you get to high school, this gap continues. And so by the time we graduated, it wasn't until then, that I was the only student of color with the sash on for honors. The people were saying, you're smart? I was embarrassed to tell that story. <br><br>Now in hindsight, I'm like, maybe I should have been telling my friends , maybe I should have been sharing the experiences. I could have played as a peer mentor to make sure more of my friends were having the same experience I had. <br><br>And maybe I missed out when I was younger, but what I can do as I get older is to really address some of the inequities that do occur in education in particular.","The author was put in charge of a team to land a big client for their firm, and successfully did so with the team's hard work. As a result, the author received a raise, bonus, and newfound confidence in their capabilities at work. The author is now a top candidate for the manager position at their branch and is excited to lead future projects.","
The speaker always knew they wanted to make a difference and saw their purpose as driving business. They experienced a gap in education and were the only student of color with honors. In hindsight, they realized they could have played a peer mentor role to ensure more friends had the same experience and now want to address inequities in education.",1,0.0, the stories have completely different topics and experiences.,3.0,2.5,2.5,2.5
7,"(13, 28)","(0.544, 0.684]","Born and raised in a beautiful home. Wonderful memories - they feel like a warm blanket on a cold winter night but also like they happened a lifetime ago. <br><br>Moved to new country with family - didn't fit in (still don't). Underwhelming academics and no real friends. Spend years feeling like an outsider. <br><br>Move back to home country for 18 months - first taste of love (and loss). Life is good. <br><br>Move back to new country again - back to being alone. Spend years without real social connection. <br><br>Enlist in army - fail out of basic and spend 2 years doing grunt work. <br><br>Go to uni - experience a sense of connection for the first time in my life. Pick up smoking and drink more than ever before. Underwhelming academics - teetering on the edge of flunking out. <br><br>Vow to make a change in 3rd year - let go of a wonderful woman for the wrong one. Get deeper into drinking - grasping at everything to feel accepted and happy. Grades pick up,feel more accepted, and fall deeper in love (with the wrong person). Feel alive but lost in my partner. <br><br>Lose my identity and become a pleaser - feels better than the alternative. Make it through uni and move back home. <br><br>Dad loses job, relationship on the rocks and feel alone without support. Life feels hopeless. Depression and anxiety worse than before. <br><br>Find a well paying entry level job and relationship breaks down. Fight through the pain but let go of opportunities to connect with others. Isolation and self-preservation peppered with copious drinking become the way of life. <br><br>Get promoted and make smart career choices - reach top .5% of earners in my country within 5 years post-uni. Quit smoking and start taking care of my health/diet. Quit drinking. <br><br>Visit my ex-gf and realize it can never be the same. Corona hits and also start a new job that's deemed to be beyond ""what I should be able to secure"", and start casually dating. <br><br>Get certified in skydiving, scuba diving and get my motorbike license (and a new bike). Get more confident and start meeting interesting people. Still feeling vulnerable and lonely. <br><br>Get a beautiful puppy and watch him grow. Life starts getting better. Family gets closer and old wounds start to heal. The world suddenly seems more beautiful. The greys are less dull and colors are more vibrant. <br><br>Slowly realize that no one can rescue me but myself - feel re-invigorated. Still searching for meaning but feeling hopeful and more at peace. <br><br>The rest is yet to be written.","I've gone on holiday with my family (8 people including me) and there is nothing I want more than to go home. I got told to move out and have been living by myself for nearly 4 years. I'm so used to my own company and my own routines. <br><br>Being surrounded by 7 other people, and their routines and quirks is too much. I'm overwhelmed. Not only that but I'm sharing a room with my 14 year old sibling so I don't even get any privacy. <br><br>I've spent the last day crying and there are still 4 days to go. I want to be at home.","The story follows a person's life journey of feeling like an outsider in a new country, failing out of the army, struggling in university, and dealing with depression and anxiety. They eventually become successful in their career and make positive changes in their life, including quitting smoking and drinking, getting certified in various activities, and getting a new puppy. They realize that they are the only ones who can rescue themselves and feel more hopeful and at peace. The future is still uncertain.","
The author is on a family vacation with 8 people but wants to go home because they have been living alone for 4 years and find it overwhelming to be surrounded by others. Sharing a room with a sibling leaves them with no privacy and they have been crying and feeling miserable about the situation. They still have 4 more days on the vacation.",2,0.0," The two stories have different contexts and experiences, with different emotions and challenges.",2.5,2.5,2.5,2.5
8,"(13, 37)","(0.544, 0.684]","Born and raised in a beautiful home. Wonderful memories - they feel like a warm blanket on a cold winter night but also like they happened a lifetime ago. <br><br>Moved to new country with family - didn't fit in (still don't). Underwhelming academics and no real friends. Spend years feeling like an outsider. <br><br>Move back to home country for 18 months - first taste of love (and loss). Life is good. <br><br>Move back to new country again - back to being alone. Spend years without real social connection. <br><br>Enlist in army - fail out of basic and spend 2 years doing grunt work. <br><br>Go to uni - experience a sense of connection for the first time in my life. Pick up smoking and drink more than ever before. Underwhelming academics - teetering on the edge of flunking out. <br><br>Vow to make a change in 3rd year - let go of a wonderful woman for the wrong one. Get deeper into drinking - grasping at everything to feel accepted and happy. Grades pick up,feel more accepted, and fall deeper in love (with the wrong person). Feel alive but lost in my partner. <br><br>Lose my identity and become a pleaser - feels better than the alternative. Make it through uni and move back home. <br><br>Dad loses job, relationship on the rocks and feel alone without support. Life feels hopeless. Depression and anxiety worse than before. <br><br>Find a well paying entry level job and relationship breaks down. Fight through the pain but let go of opportunities to connect with others. Isolation and self-preservation peppered with copious drinking become the way of life. <br><br>Get promoted and make smart career choices - reach top .5% of earners in my country within 5 years post-uni. Quit smoking and start taking care of my health/diet. Quit drinking. <br><br>Visit my ex-gf and realize it can never be the same. Corona hits and also start a new job that's deemed to be beyond ""what I should be able to secure"", and start casually dating. <br><br>Get certified in skydiving, scuba diving and get my motorbike license (and a new bike). Get more confident and start meeting interesting people. Still feeling vulnerable and lonely. <br><br>Get a beautiful puppy and watch him grow. Life starts getting better. Family gets closer and old wounds start to heal. The world suddenly seems more beautiful. The greys are less dull and colors are more vibrant. <br><br>Slowly realize that no one can rescue me but myself - feel re-invigorated. Still searching for meaning but feeling hopeful and more at peace. <br><br>The rest is yet to be written.","I don't know why I've been so emotional these past few days. I think about all the homeless people I've seen on the streets, all the beggars I've ever walked past, I think of people in mental hospitals who will never be healthy enough to get out, I think of the homeless teen I met in a downtown mental resource centre, I think of all the drug addicts I've seen shooting up heroin on the transit system, and I just want to cry. <br><br>Why do people have to suffer so much? Why do they suffer more than me? Why is there nothing I can do about it?","The story follows a person's life journey of feeling like an outsider in a new country, failing out of the army, struggling in university, and dealing with depression and anxiety. They eventually become successful in their career and make positive changes in their life, including quitting smoking and drinking, getting certified in various activities, and getting a new puppy. They realize that they are the only ones who can rescue themselves and feel more hopeful and at peace. The future is still uncertain.","
The narrator has been feeling emotional and thinking about the suffering of homeless people, beggars, mentally ill individuals, and drug addicts. They feel helpless and question why others have to suffer more than them and why they can't do anything about it.",1,0.0," The two stories have vastly different subjects and themes, and it is unlikely that the narrators would empathize with each other.",2.0,1.5,2.5,1.5
9,"(13, 40)","(0.501, 0.544]","Born and raised in a beautiful home. Wonderful memories - they feel like a warm blanket on a cold winter night but also like they happened a lifetime ago. <br><br>Moved to new country with family - didn't fit in (still don't). Underwhelming academics and no real friends. Spend years feeling like an outsider. <br><br>Move back to home country for 18 months - first taste of love (and loss). Life is good. <br><br>Move back to new country again - back to being alone. Spend years without real social connection. <br><br>Enlist in army - fail out of basic and spend 2 years doing grunt work. <br><br>Go to uni - experience a sense of connection for the first time in my life. Pick up smoking and drink more than ever before. Underwhelming academics - teetering on the edge of flunking out. <br><br>Vow to make a change in 3rd year - let go of a wonderful woman for the wrong one. Get deeper into drinking - grasping at everything to feel accepted and happy. Grades pick up,feel more accepted, and fall deeper in love (with the wrong person). Feel alive but lost in my partner. <br><br>Lose my identity and become a pleaser - feels better than the alternative. Make it through uni and move back home. <br><br>Dad loses job, relationship on the rocks and feel alone without support. Life feels hopeless. Depression and anxiety worse than before. <br><br>Find a well paying entry level job and relationship breaks down. Fight through the pain but let go of opportunities to connect with others. Isolation and self-preservation peppered with copious drinking become the way of life. <br><br>Get promoted and make smart career choices - reach top .5% of earners in my country within 5 years post-uni. Quit smoking and start taking care of my health/diet. Quit drinking. <br><br>Visit my ex-gf and realize it can never be the same. Corona hits and also start a new job that's deemed to be beyond ""what I should be able to secure"", and start casually dating. <br><br>Get certified in skydiving, scuba diving and get my motorbike license (and a new bike). Get more confident and start meeting interesting people. Still feeling vulnerable and lonely. <br><br>Get a beautiful puppy and watch him grow. Life starts getting better. Family gets closer and old wounds start to heal. The world suddenly seems more beautiful. The greys are less dull and colors are more vibrant. <br><br>Slowly realize that no one can rescue me but myself - feel re-invigorated. Still searching for meaning but feeling hopeful and more at peace. <br><br>The rest is yet to be written.","I did an arts commerce degree at Melbourne Uni, but the reason I did commerce was because my parents wanted me to. I had no interest in it whatsoever. And I actually managed to get the degree and I passed over five years, but I spent the entire time there just doing theater. <br><br>And then I made a very clear decision to leave Australia to go overseas and continue studying being an actor. <br><br>One thing I have learned in my life is that the best thing you can do is make decisions. Actually, it's the only thing you can do, is make decisions. And when you vacillate and you don't make them, nothing is ever clear. <br><br>Being an actor, this is what you learn an enormous amount. All the time, you learn, ""Trust your instincts.''","The story follows a person's life journey of feeling like an outsider in a new country, failing out of the army, struggling in university, and dealing with depression and anxiety. They eventually become successful in their career and make positive changes in their life, including quitting smoking and drinking, getting certified in various activities, and getting a new puppy. They realize that they are the only ones who can rescue themselves and feel more hopeful and at peace. The future is still uncertain.","
The narrator did a commerce degree at Melbourne Uni to please their parents, but had no interest in it and spent the entire time doing theatre. They then made a decision to leave Australia and continue studying acting overseas. The narrator believes that making decisions is important and that being an actor teaches you to trust your instincts.",2,0.0," While both stories involve personal struggles and making positive changes in one's life, the specific experiences and circumstances are quite different.",1.5,1.5,1.0,1.5
