Person_1_event_score,Person_1_emotion_score,Person_1_empathy_score,Person_2_event_score,Person_2_emotion_score,Person_2_empathy_score,Person_3_event_score,Person_3_emotion_score,Person_3_empathy_score,Person_4_event_score,Person_4_emotion_score,Person_4_empathy_score,gpt_score,Event_AVG,Emo_AVG,Emp_AVG
4,4,4,2.5,2.5,2.5,4,4,4,3,4,4,4,3.375,3.625,3.625
1,1,4,4,4,4,1,1,3.5,4,1,2.5,3,2.5,1.75,3.5
3.5,1,1,3,3,3,1,1,1,3,2.5,3,1,2.625,1.875,2
4,3,4,3.5,4,3.5,1,2.5,3,2,4,4,2,2.625,3.375,3.625
3.5,1,1,3,3.5,3.5,1,1,1,4,4,4,3,2.875,2.375,2.375
4,4,4,2,3,3,1,1.5,1,1,4,3,2,2,3.125,2.75
4,4,4,1,1,1,1,2,3,1,4,4,1,1.75,2.75,3
4,4,4,3.5,3.5,3.5,1,4,4,4,4,4,4,3.125,3.875,3.875
4,4,4,2.5,4,3,1,1,2,4,4,4,2,2.875,3.25,3.25
4,4,4,2.5,2.5,2.5,2,4,3,4,4,4,4,3.125,3.625,3.375
4,4,4,4,4,4,3,4,4,4,4,4,4,3.75,4,4
4,4,4,4,4,4,1,4,3,2,4,4,3,2.75,4,3.75
4,4,4,3,3,3,4,3,3.5,4,4,4,4,3.75,3.5,3.625
2,1,3.5,2,2,2,1,2.5,2,4,4,4,3,2.25,2.375,2.875
4,4,4,4,4,4,3.5,4,3.5,4,4,4,4,3.875,4,3.875
4,4,4,2,2,2,4,3,3,4,4,4,3,3.5,3.25,3.25
1,4,3,3.5,3.5,3.5,2,3,2.5,4,3.5,4,4,2.625,3.5,3.25
3.5,4,4,4,4,4,1,3,4,4,4,4,3,3.125,3.75,4
1,3.5,4,4,4,4,2.5,3.5,3,4,4,4,1,2.875,3.75,3.75
3.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1.625,1.125,1
1,1,1,3,3,3,4,4,4,4,4,4,3,3,3,3
4,4,3,3.5,3.5,3.5,4,4,4,4,4,2,2,3.875,3.875,3.125
1,1,4,3,3,3,1.5,4,3,4,4,4,4,2.375,3,3.5
1.5,4,3.5,1.5,1.5,1.5,2.5,3.5,3.5,4,4,4,3,2.375,3.25,3.125
4,4,4,4,4,4,3.5,2.5,3.5,4,4,4,4,3.875,3.625,3.875
3,2,3.5,4,4,4,3,1,1.5,4,4,4,3,3.5,2.75,3.25
3.5,1.5,3,3,3,3,1,1.5,3,4,4,2,2,2.875,2.5,2.75
3.5,4,4,4,4,4,1,4,3.5,4,4,4,4,3.125,4,3.875
3.5,1,1,4,4,4,2.5,3,1.5,4,4,4,4,3.5,3,2.625
4,3,4,4,4,4,2,3.5,4,4,4,4,3,3.5,3.625,4
1.5,3,3.5,4,4,4,3.5,2.5,3.5,4,4,4,2,3.25,3.375,3.75
4,4,4,4,4,4,3,2,2.5,4,3,4,1,3.75,3.25,3.625
1,3.5,2.5,3.5,4,3.5,4,3,1.5,3,3,4,2,2.875,3.375,2.875
1.5,3.5,4,4,4,4,3.5,4,4,4,4,3,4,3.25,3.875,3.75
2.5,3,3.5,3,3,3,1.5,1,1.5,4,4,2,3,2.75,2.75,2.5
1,2,2.5,1,2,2,3,3.5,3,1,4,2,1,1.5,2.875,2.375
4,3,4,4,4,4,4,4,3.5,4,4,4,4,4,3.75,3.875
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3.5,3.5,4,4,4,4,3.5,4,4,4,4,4,3,3.75,3.875,4
4,4,4,4,4,4,3.5,4,4,4,4,4,2,3.875,4,4
1.5,2.5,1.5,4,4,4,2,1.5,1.5,1,1,1,3,2.125,2.25,2
3.5,1.5,3.5,3.5,4,3.5,2,1,1,1,1,1,2,2.5,1.875,2.25
3,3.5,3.5,4,4,4,3.5,3,4,4,4,4,4,3.625,3.625,3.875
1,3,3,4,4,4,3,4,4,4,4,4,3,3,3.75,3.75
2.5,4,3.5,4,4,4,3.5,4,3,4,4,4,3,3.5,4,3.625
1.5,2,3.5,4,4,4,1.5,1.5,3,4,4,4,4,2.75,2.875,3.625
1.5,2.5,3.5,4,4,4,3,4,3.5,4,4,4,4,3.125,3.625,3.75
4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3.75
1,3.5,2.5,2.5,4,3,3.5,2,1.5,1,1,1,3,2,2.625,2
1,1.5,2,3,3,3,3,4,4,2,4,4,2,2.25,3.125,3.25
1,1.5,2.5,1,2,1,3.5,4,3,1,1,1,1,1.625,2.125,1.875
2.5,3,3.5,4,4,4,3,3,4,4,4,3,4,3.375,3.5,3.625
1.5,2.5,4,2,3,2,3.5,3.5,4,1,2,3,3,2,2.75,3.25
1.5,2.5,2.5,3.5,4,3.5,3,1.5,3.5,2.5,2.5,2.5,4,2.625,2.625,3
1.5,2.5,3.5,4,4,4,2,1.5,4,2,4,4,2,2.375,3,3.875
1.5,2.5,4,4,4,4,3,3.5,4,4,4,4,3,3.125,3.5,4
4,4,4,4,4,4,1,3.5,3.5,3.5,4,4,4,3.125,3.875,3.875
1.5,2.5,4,4,4,4,3,3,4,4,4,4,4,3.125,3.375,4
1.5,2.5,3,2.5,3.5,2.5,1,1.5,3,1,1,1,3,1.5,2.125,2.375
4,3.5,3,4,4,4,4,4,4,4,4,4,4,4,3.875,3.75
1.5,1.5,3,1,1,1,1,1,3,1,1,1,2,1.125,1.125,2
1.5,3,4,4,4,4,1,3.5,3.5,4,4,4,3,2.625,3.625,3.875
1.5,3.5,3.5,3.5,4,3.5,1.5,1,3,4,4,4,4,2.625,3.125,3.5
1.5,2,4,1.5,1.5,1,1,2.5,3,1,1,1,2,1.25,1.75,2.25
1,1.5,2.5,3,3.5,3,1.5,3.5,3,2,2.5,3,4,1.875,2.75,2.875
3.5,2.5,3.5,3.5,3.5,3.5,2.5,4,3.5,4,4,4,3,3.375,3.5,3.625
3.5,4,3.5,3.5,4,3.5,1,3.5,3,4,4,3.5,2,3,3.875,3.375
1,1,4,3,4,3.5,1,3,3.5,4,3.5,3.5,1,2.25,2.875,3.625
4,3.5,4,3.5,4,4,1,1.5,1,1,4,2,2,2.375,3.25,2.75
4,3.5,4,4,4,4,3.5,3.5,3.5,4,4,4,4,3.875,3.75,3.875
4,3,3.5,4,4,4,4,3.5,3.5,4,4,4,3,4,3.625,3.75
4,4,2.5,4,4,4,1,3,4,3,4,4,4,3,3.75,3.625
4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3.25
